epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
121,4507.85,0.27594,0.34176,0.13242,0.00488,0.14991,0.99261,0.99507,0.99493,0.99024,0.99261,0.99507,0.99493,0.97068,0.14532,0.26504,0.06453,0.00477,0,0.000209073,0.000209073,0.000209073
122,4542.64,0.28204,0.35875,0.13281,0.00466,0.16344,0.99983,1,0.995,0.98248,0.99983,1,0.995,0.96952,0.16685,0.2702,0.05969,0.00549,0,0.000197062,0.000197062,0.000197062
123,4579.59,0.27384,0.35762,0.13712,0.00472,0.16657,1,0.99937,0.995,0.98083,1,0.99937,0.995,0.96301,0.18533,0.27868,0.06749,0.00593,0,0.000185408,0.000185408,0.000185408
124,4614.63,0.26041,0.33971,0.13011,0.00437,0.15537,0.99264,0.99971,0.995,0.98324,0.99264,0.99971,0.995,0.97321,0.15733,0.26335,0.06354,0.00529,0,0.000174115,0.000174115,0.000174115
125,4649.22,0.27591,0.3564,0.12784,0.00493,0.16411,1,0.99121,0.995,0.982,1,0.99121,0.995,0.9698,0.15678,0.26954,0.0658,0.00507,0,0.000163189,0.000163189,0.000163189
126,4685.89,0.27081,0.34547,0.12788,0.00444,0.14834,0.99942,1,0.995,0.98592,0.99942,1,0.995,0.97001,0.15214,0.25464,0.05545,0.00486,0,0.000152635,0.000152635,0.000152635
127,4720.95,0.25406,0.34066,0.12603,0.00427,0.14491,0.99204,1,0.99478,0.98773,0.99204,1,0.99478,0.97341,0.14442,0.25369,0.06401,0.00472,0,0.000142456,0.000142456,0.000142456
128,4755.87,0.26667,0.35013,0.13048,0.0044,0.16481,0.99193,1,0.995,0.98484,0.99193,1,0.995,0.97069,0.14831,0.26832,0.0587,0.00485,0,0.000132658,0.000132658,0.000132658
129,4792.99,0.26215,0.33196,0.12386,0.0044,0.15161,0.99812,0.99259,0.995,0.98663,0.99812,0.99259,0.995,0.97157,0.14642,0.2703,0.06176,0.00482,0,0.000123245,0.000123245,0.000123245
130,4827.94,0.25988,0.32521,0.12287,0.00432,0.14789,0.99899,1,0.995,0.98523,0.99899,1,0.995,0.9697,0.15207,0.26973,0.06038,0.00492,0,0.000114221,0.000114221,0.000114221
131,4863.6,0.26694,0.32939,0.12122,0.00454,0.14938,1,0.99949,0.995,0.98611,1,0.99949,0.995,0.97119,0.15673,0.25755,0.06873,0.00498,0,0.00010559,0.00010559,0.00010559
132,4900.32,0.26225,0.34245,0.13159,0.00436,0.16592,0.99261,0.99436,0.99485,0.98501,0.99261,0.99436,0.99485,0.97037,0.14986,0.26296,0.06869,0.00487,0,9.73555e-05,9.73555e-05,9.73555e-05
133,4935.96,0.25467,0.33937,0.11961,0.00434,0.15781,0.99892,1,0.995,0.98621,0.99892,1,0.995,0.97131,0.15238,0.25862,0.05829,0.0049,0,8.95213e-05,8.95213e-05,8.95213e-05
134,4973.14,0.26316,0.34433,0.12965,0.00444,0.15761,0.99964,1,0.995,0.98661,0.99964,1,0.995,0.9732,0.14776,0.25455,0.05157,0.00479,0,8.20908e-05,8.20908e-05,8.20908e-05
135,5008.14,0.25095,0.32977,0.12593,0.00414,0.14451,0.99941,1,0.995,0.98663,0.99941,1,0.995,0.9729,0.1576,0.26071,0.05518,0.00516,0,7.50674e-05,7.50674e-05,7.50674e-05
136,5045.99,0.20036,0.24666,0.08699,0.00689,0.12627,1,0.99946,0.995,0.98368,1,0.99946,0.995,0.96998,0.17235,0.26742,0.0619,0.00581,0,6.8454e-05,6.8454e-05,6.8454e-05
137,5079.53,0.22459,0.31119,0.09821,0.00828,0.27192,0.99976,1,0.995,0.97937,0.99976,1,0.995,0.96699,0.15805,0.26669,0.05865,0.00536,0,6.22537e-05,6.22537e-05,6.22537e-05
138,5111.77,0.17311,0.2288,0.07273,0.00566,0.11425,0.99974,0.99259,0.995,0.97869,0.99974,0.99259,0.995,0.96532,0.15621,0.26911,0.08222,0.00511,0,5.64691e-05,5.64691e-05,5.64691e-05
139,5143.8,0.17609,0.23307,0.07339,0.0057,0.11614,1,0.99987,0.995,0.97888,1,0.99987,0.995,0.96504,0.15069,0.27114,0.05615,0.00492,0,5.11027e-05,5.11027e-05,5.11027e-05
140,5177,0.17408,0.22769,0.0744,0.00572,0.11319,0.99944,1,0.995,0.97998,0.99944,1,0.995,0.96476,0.14888,0.27289,0.05489,0.0049,0,4.61569e-05,4.61569e-05,4.61569e-05
141,5210.5,0.17006,0.24723,0.07797,0.00563,0.12285,0.99976,0.99259,0.995,0.98191,0.99976,0.99259,0.995,0.96677,0.15059,0.26835,0.06501,0.00492,0,4.16339e-05,4.16339e-05,4.16339e-05
142,5245.18,0.17222,0.24241,0.07266,0.00575,0.11997,0.99911,0.99259,0.995,0.98056,0.99911,0.99259,0.995,0.96653,0.14886,0.26681,0.06106,0.00491,0,3.75356e-05,3.75356e-05,3.75356e-05
143,5278.1,0.17195,0.2375,0.06935,0.0055,0.12047,1,0.99927,0.995,0.9816,1,0.99927,0.995,0.96885,0.15023,0.26606,0.06774,0.00492,0,3.38639e-05,3.38639e-05,3.38639e-05
144,5311.58,0.16813,0.23099,0.07382,0.00546,0.11507,0.9995,0.99259,0.995,0.98202,0.9995,0.99259,0.995,0.96997,0.14751,0.26303,0.06258,0.00485,0,3.06204e-05,3.06204e-05,3.06204e-05
145,5344.66,0.16753,0.23033,0.07177,0.00574,0.11771,1,0.99249,0.995,0.98358,1,0.99249,0.995,0.97108,0.14785,0.26655,0.07474,0.00482,0,2.78064e-05,2.78064e-05,2.78064e-05
146,5378.78,0.16382,0.23531,0.07191,0.00531,0.11714,1,0.99239,0.995,0.98395,1,0.99239,0.995,0.97161,0.14952,0.27044,0.06377,0.00488,0,2.54233e-05,2.54233e-05,2.54233e-05
147,5413.14,0.1617,0.22809,0.06943,0.00518,0.11237,1,0.99183,0.995,0.98318,1,0.99183,0.995,0.96994,0.14555,0.26557,0.06592,0.00476,0,2.34721e-05,2.34721e-05,2.34721e-05
148,5446.14,0.17611,0.23613,0.06964,0.00574,0.11784,1,0.99199,0.995,0.98439,1,0.99199,0.995,0.96694,0.14696,0.26671,0.06659,0.00483,0,2.19535e-05,2.19535e-05,2.19535e-05
149,5478.56,0.16549,0.2431,0.07134,0.00535,0.13561,0.99955,0.99259,0.995,0.98306,0.99955,0.99259,0.995,0.96647,0.14317,0.26833,0.05563,0.00474,0,2.08684e-05,2.08684e-05,2.08684e-05
150,5512.07,0.16152,0.23607,0.06787,0.00514,0.11757,0.99168,0.99259,0.99493,0.98345,0.99168,0.99259,0.99493,0.96955,0.14226,0.26566,0.06234,0.0047,0,2.02171e-05,2.02171e-05,2.02171e-05
