epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1023.76,0.48882,0.45197,0.23866,0.00912,0.21886,0.99264,0.99877,0.99493,0.88617,0.99264,0.99877,0.99493,0.94706,0.47328,0.34563,0.16414,0.0171,0,0.00184588,0.00184588,0.00184588
29,1058.84,0.51087,0.48235,0.23217,0.00988,0.2376,0.98527,0.99093,0.99389,0.82697,0.98527,0.99093,0.99389,0.89501,0.65338,0.49122,0.22259,0.02147,0,0.00183459,0.00183459,0.00183459
30,1094.55,0.52205,0.48335,0.23649,0.01013,0.27679,0.9959,0.98519,0.99485,0.81774,0.9959,0.98519,0.99485,0.94037,0.69957,0.32561,0.25682,0.02444,0,0.00182294,0.00182294,0.00182294
31,1130.73,0.49309,0.51413,0.24433,0.00924,0.24433,0.94852,1,0.99369,0.89427,0.94852,1,0.99369,0.94188,0.48893,0.42497,0.20142,0.01617,0,0.00181093,0.00181093,0.00181093
32,1165.72,0.50758,0.50709,0.229,0.00932,0.24349,0.9854,0.99997,0.99456,0.8998,0.9854,0.99997,0.99456,0.93657,0.43181,0.35741,0.15682,0.01409,0,0.00179856,0.00179856,0.00179856
33,1202.91,0.4942,0.4976,0.23562,0.00928,0.24004,0.99687,0.96296,0.99275,0.88458,0.99687,0.96296,0.99275,0.88347,0.50467,0.81655,0.24726,0.0173,0,0.00178586,0.00178586,0.00178586
34,1238.49,0.44852,0.46593,0.20952,0.00792,0.21926,0.98988,0.99259,0.9947,0.93207,0.98988,0.99259,0.9947,0.94958,0.37179,0.38453,0.13872,0.01197,0,0.00177281,0.00177281,0.00177281
35,1274.13,0.45391,0.48724,0.22686,0.00818,0.22399,0.97621,0.99259,0.99456,0.92993,0.97621,0.99259,0.99456,0.9509,0.38909,0.34269,0.17057,0.01272,0,0.00175943,0.00175943,0.00175943
36,1311.27,0.46745,0.46789,0.23228,0.00881,0.22828,0.89751,0.91852,0.93078,0.57605,0.90184,0.74815,0.83099,0.33825,1.76916,1.65451,0.77065,0.05735,0,0.00174571,0.00174571,0.00174571
37,1346.6,0.47562,0.48568,0.21599,0.00862,0.21674,0.98455,0.99259,0.99478,0.93826,0.98455,0.99259,0.99478,0.95098,0.37513,0.35868,0.13333,0.01184,0,0.00173168,0.00173168,0.00173168
38,1383.97,0.46355,0.47399,0.2137,0.00849,0.23758,0.98539,0.9989,0.99493,0.94583,0.98539,0.9989,0.99493,0.95819,0.32446,0.29495,0.14095,0.01058,0,0.00171733,0.00171733,0.00171733
39,1419.78,0.474,0.4834,0.2355,0.00878,0.23509,0.99264,0.9991,0.99485,0.91384,0.99264,0.9991,0.99485,0.95437,0.42939,0.35928,0.13581,0.01469,0,0.00170267,0.00170267,0.00170267
40,1455.58,0.44403,0.44486,0.20433,0.00814,0.22094,0.88868,0.88706,0.9432,0.72898,0.88868,0.88706,0.94348,0.83393,0.83107,0.88797,0.57581,0.02885,0,0.0016877,0.0016877,0.0016877
41,1492.79,0.43803,0.48327,0.21251,0.00805,0.22918,0.99254,0.98575,0.99485,0.93166,0.99254,0.98575,0.99485,0.95583,0.36677,0.3354,0.13821,0.01225,0,0.00167244,0.00167244,0.00167244
42,1528.22,0.43753,0.47775,0.20237,0.00794,0.24071,0.97823,0.99869,0.99397,0.92959,0.97823,0.99869,0.99397,0.91363,0.36084,0.84239,0.15661,0.01264,0,0.00165689,0.00165689,0.00165689
43,1564.5,0.43837,0.47748,0.22559,0.00755,0.23731,0.96169,0.99259,0.99362,0.95443,0.96169,0.99259,0.99362,0.95421,0.30188,0.3361,0.1954,0.01002,0,0.00164105,0.00164105,0.00164105
44,1601.16,0.47909,0.46447,0.21561,0.0091,0.22791,0.95582,0.96147,0.98444,0.81486,0.95582,0.96147,0.98524,0.87515,0.67904,0.80236,0.37041,0.0233,0,0.00162494,0.00162494,0.00162494
45,1636.11,0.45537,0.43959,0.2113,0.00861,0.20422,0.98539,0.9992,0.9947,0.92068,0.98539,0.9992,0.9947,0.93747,0.3726,0.46906,0.15476,0.01254,0,0.00160855,0.00160855,0.00160855
46,1673.16,0.44761,0.50359,0.19597,0.00849,0.27721,0.99879,0.97037,0.99463,0.93802,0.99879,0.97037,0.99463,0.95737,0.3695,0.32429,0.14322,0.0121,0,0.00159191,0.00159191,0.00159191
47,1708.34,0.44743,0.44302,0.20467,0.00806,0.2273,0.97808,0.99141,0.99441,0.91068,0.97808,0.99141,0.99441,0.93174,0.40095,0.40776,0.16925,0.01391,0,0.00157501,0.00157501,0.00157501
48,1745.56,0.43305,0.43974,0.20856,0.00792,0.20306,0.99257,0.98962,0.99478,0.86651,0.99257,0.98962,0.99478,0.93547,0.56346,0.39859,0.28128,0.0177,0,0.00155786,0.00155786,0.00155786
49,1782.06,0.42581,0.44454,0.19494,0.00797,0.20416,0.9911,0.97778,0.99397,0.94182,0.9986,0.98519,0.99485,0.95977,0.33698,0.31453,0.14155,0.01133,0,0.00154047,0.00154047,0.00154047
50,1817.86,0.4257,0.44921,0.19851,0.00802,0.21185,0.97505,0.98519,0.99419,0.92602,0.97505,0.98519,0.99419,0.95458,0.39109,0.3249,0.1454,0.01307,0,0.00152285,0.00152285,0.00152285
51,1856.12,0.43628,0.47056,0.21053,0.00762,0.23566,0.98314,0.97037,0.99284,0.84963,0.98314,0.97037,0.99284,0.90906,0.53017,0.56901,0.47701,0.01797,0,0.001505,0.001505,0.001505
52,1892.75,0.40762,0.44555,0.19667,0.0075,0.22219,0.99136,1,0.99493,0.92004,0.99136,1,0.99493,0.94111,0.37054,0.42065,0.14788,0.0121,0,0.00148694,0.00148694,0.00148694
53,1931.26,0.40221,0.46105,0.19467,0.00714,0.22671,0.99258,0.99107,0.99478,0.89813,0.99258,0.99107,0.99478,0.95315,0.46428,0.36165,0.17156,0.01583,0,0.00146866,0.00146866,0.00146866
54,1967.55,0.42772,0.44703,0.20939,0.00778,0.22705,0.97788,1,0.99463,0.93679,0.97788,1,0.99463,0.94659,0.3365,0.36184,0.14118,0.01154,0,0.00145019,0.00145019,0.00145019
55,2005.27,0.42451,0.45939,0.19482,0.00774,0.20024,1,0.99927,0.995,0.93309,1,0.99927,0.995,0.94841,0.35903,0.41209,0.14748,0.01166,0,0.00143152,0.00143152,0.00143152
56,2043,0.45051,0.45042,0.21457,0.00831,0.22677,1,0.9991,0.995,0.93396,1,0.9991,0.995,0.9484,0.3689,0.3304,0.1202,0.01265,0,0.00141267,0.00141267,0.00141267
