model_name,best_epoch,best_val_acc,test_acc,checkpoint
convnext_tiny,6,0.9925925925925926,1.0,/content/leaf_yolo26_work/classifier_runs/convnext_tiny/best.pt
efficientnet_v2_s,6,1.0,1.0,/content/leaf_yolo26_work/classifier_runs/efficientnet_v2_s/best.pt
